Student_ID,CGPA,SSC_Marks,HSC_Marks,Internship_Count,Internship_Duration_Months,Projects,Workshops_Certifications,Extracurricular_Activities,Active_Backlogs,Placement_Training,Placement_Status
STU00044,7.27,72.16,73.51,2,5,2,0,3,0,No,1
STU00045,7.13,72.38,73.81,2,3,3,1,2,0,No,0
STU00046,7.25,78.33,57.62,0,0,1,4,2,0,Yes,1
STU00047,8.0,78.17,80.64,0,0,1,4,1,0,Yes,0
STU00048,7.26,73.0,79.48,2,3,4,0,2,0,No,1
STU00049,7.78,80.06,79.27,1,2,3,2,5,0,Yes,1
STU00050,7.08,68.32,71.8,2,5,2,1,0,0,No,1
STU00051,7.33,72.53,70.19,1,2,1,0,3,2,No,0
STU00052,7.73,73.31,76.07,2,4,6,5,3,1,Yes,1
STU00053,5.32,50.01,53.75,1,3,5,2,1,0,No,1
STU00054,6.63,63.17,54.98,0,0,2,3,2,0,Yes,0
STU00055,6.46,56.78,51.82,2,5,3,2,3,0,No,1
STU00056,6.27,60.81,50.94,0,0,0,2,1,0,No,0
STU00057,6.68,68.88,59.86,1,1,7,2,2,0,No,1
STU00058,8.72,90.96,74.24,0,0,0,2,1,0,No,1
STU00059,6.0,47.5,55.14,1,3,2,2,1,0,No,1
STU00060,8.11,83.12,78.54,1,1,4,2,4,2,No,0
STU00061,5.06,41.67,49.26,0,0,0,4,2,0,Yes,0
STU00062,6.61,62.28,45.99,0,0,0,4,2,2,Yes,0
STU00063,7.19,65.31,72.9,1,2,4,4,2,1,No,1
STU00064,7.67,85.5,82.86,0,0,2,2,2,0,No,0
STU00065,7.82,84.18,79.12,0,0,1,0,2,0,Yes,0
STU00066,7.91,87.55,77.82,1,2,0,2,3,1,Yes,1
STU00067,6.6,67.78,63.66,1,3,4,0,2,0,No,0
STU00068,6.47,57.96,64.21,2,5,4,0,4,0,Yes,0
STU00069,7.99,78.86,81.55,1,1,4,3,2,0,No,1
STU00070,6.78,74.75,64.88,1,3,3,2,2,0,Yes,1
STU00071,5.53,48.72,56.65,0,0,1,3,2,0,Yes,0
STU00072,5.7,42.75,52.45,0,0,0,4,0,0,Yes,0
STU00073,5.94,59.2,45.35,1,1,7,3,2,0,No,0
STU00074,7.57,77.27,81.0,1,2,4,1,1,0,Yes,1
STU00075,7.16,79.45,66.67,1,2,2,1,1,1,No,1
STU00076,7.79,80.69,76.44,1,3,0,0,3,0,No,1
STU00077,6.51,60.06,57.82,0,0,2,2,2,0,No,1
STU00078,7.18,79.82,73.48,1,3,3,1,2,2,Yes,1
STU00079,7.72,69.14,85.87,0,0,5,0,3,0,No,1
STU00080,6.64,58.65,59.31,1,3,1,6,1,0,Yes,0
STU00081,7.53,70.43,83.14,1,2,4,1,1,0,No,0
STU00082,6.24,43.33,54.48,1,1,1,2,2,0,No,0
STU00083,6.58,66.47,66.64,1,3,1,2,3,1,No,0
STU00084,6.56,57.57,59.1,1,1,2,7,3,0,No,1
STU00085,5.62,55.75,44.36,2,6,2,1,0,1,Yes,0
STU00086,7.56,78.61,84.8,0,0,0,3,3,0,No,1
STU00087,6.46,63.09,52.92,2,4,3,2,4,1,Yes,1
STU00088,7.01,65.39,61.19,0,0,0,2,4,0,No,0
STU00089,7.55,71.59,65.64,1,3,3,3,2,0,Yes,0
STU00090,7.51,76.12,80.18,0,0,1,2,1,2,No,0
STU00091,7.77,84.41,84.92,0,0,3,2,2,0,Yes,1
STU00092,6.89,65.68,65.22,2,5,4,2,1,0,No,0
STU00093,6.51,56.02,51.33,0,0,1,3,2,0,Yes,1
STU00094,6.91,59.17,63.32,1,2,1,0,3,0,No,0
STU00095,5.06,48.34,42.3,0,0,2,1,2,2,Yes,0
STU00096,5.34,45.09,39.23,0,0,4,1,1,0,Yes,0
STU00097,5.48,48.9,43.4,3,9,2,2,3,0,No,1
STU00098,5.85,50.87,52.34,1,3,4,3,2,0,No,1
STU00099,7.46,72.15,68.19,1,2,0,2,4,0,No,1
STU00100,5.96,55.07,52.06,0,0,2,5,3,0,Yes,0
STU00101,6.57,64.29,47.31,0,0,4,2,2,0,Yes,1
STU00102,8.49,97.41,92.69,1,2,1,1,3,0,Yes,1
STU00103,6.59,65.9,56.0,0,0,2,2,4,0,Yes,1
STU00104,7.85,89.39,82.05,0,0,1,1,3,0,No,1
STU00105,5.93,48.09,51.13,1,2,4,0,0,0,No,1
STU00106,6.76,54.44,63.46,0,0,3,4,3,1,Yes,0
STU00107,5.91,52.77,43.06,2,5,4,0,3,0,Yes,1
STU00108,6.61,66.77,54.06,1,3,2,1,1,0,No,0
STU00109,7.97,85.39,73.76,0,0,1,2,2,0,Yes,1
STU00110,5.01,54.19,44.07,1,3,1,0,2,1,No,0
STU00111,7.5,60.17,80.35,1,1,2,2,2,0,No,1
STU00112,7.27,79.62,71.7,0,0,2,3,2,2,No,1
STU00113,6.32,59.46,49.05,2,4,4,1,2,0,No,1
STU00114,5.34,39.16,45.95,1,1,4,3,4,0,Yes,1
STU00115,7.08,73.53,65.71,0,0,2,1,2,0,No,1
STU00116,6.39,59.56,53.43,1,1,3,2,3,3,Yes,1
STU00117,7.27,74.29,68.91,1,2,1,2,3,0,No,1
STU00118,7.03,74.31,69.9,0,0,0,3,1,0,Yes,1
STU00119,8.84,90.06,80.15,2,6,6,1,3,1,No,1
STU00120,6.72,54.57,58.33,0,0,3,1,1,0,Yes,0
STU00121,5.82,51.16,54.91,0,0,3,3,2,0,No,0
STU00122,7.21,61.34,70.86,2,6,7,3,1,0,No,1
STU00123,7.25,75.68,76.46,0,0,2,0,2,2,No,1
STU00124,8.56,94.38,91.61,0,0,0,1,0,0,Yes,1
STU00125,7.96,73.67,69.95,0,0,0,5,2,0,Yes,1
STU00126,7.41,70.04,72.8,2,4,3,3,1,1,Yes,1
STU00127,8.68,81.4,80.65,0,0,2,1,2,0,No,1
STU00128,5.63,47.65,40.18,2,4,3,6,1,0,No,1
STU00129,6.26,59.28,49.07,1,1,1,3,1,1,No,0
STU00130,5.93,50.42,48.28,2,6,2,1,2,0,Yes,1
STU00131,6.55,64.7,56.02,2,5,3,0,2,0,No,1
STU00132,5.42,55.3,42.27,2,3,3,1,2,0,No,1
STU00133,7.73,85.12,75.43,0,0,2,1,2,0,No,1
STU00134,6.74,57.02,75.41,2,3,3,2,0,3,No,1
STU00135,5.31,56.56,35.0,0,0,2,3,2,1,No,0
STU00136,5.83,60.91,55.94,2,5,3,4,2,1,Yes,0
STU00137,7.36,82.68,70.25,1,3,3,2,0,1,No,0
STU00138,7.96,80.2,75.52,0,0,2,3,1,1,Yes,0
STU00139,9.3,84.44,73.84,1,2,1,1,2,0,Yes,1
STU00140,10.0,83.99,91.47,1,1,0,0,1,0,No,1
STU00141,7.48,68.45,63.41,2,5,3,1,0,1,No,0
STU00142,5.86,52.45,54.35,1,3,2,3,1,0,No,0
STU00143,4.55,50.83,53.19,1,3,1,1,3,3,No,0
STU00144,7.31,80.45,61.91,1,1,1,1,1,1,Yes,1
STU00145,6.07,51.51,58.43,1,2,5,0,5,0,No,0
STU00146,6.52,60.12,57.5,0,0,3,1,3,0,Yes,0
STU00147,6.3,56.59,41.65,0,0,2,3,5,0,Yes,0
STU00148,6.84,61.46,55.04,2,6,5,2,4,1,No,0
STU00149,8.23,87.95,81.6,1,2,2,2,2,2,Yes,1
STU00150,7.18,72.82,70.05,1,2,1,1,0,0,No,0
STU00151,6.82,65.86,52.53,2,4,3,3,3,0,No,0
STU00152,5.81,54.01,49.05,1,2,2,1,2,0,Yes,0
STU00153,5.07,50.87,49.12,1,2,0,1,3,0,No,0
STU00154,6.44,62.81,62.17,2,6,7,3,4,0,No,1
STU00155,6.94,61.84,61.39,1,3,0,5,1,3,Yes,0
STU00156,9.03,93.55,87.8,1,1,3,0,2,0,No,1
STU00157,7.15,71.72,73.63,3,11,4,1,3,0,Yes,1
STU00158,8.13,80.07,84.79,1,2,4,3,2,1,No,1
STU00159,6.43,60.39,61.34,0,0,4,2,1,1,No,0
STU00160,5.64,52.49,48.1,0,0,2,1,1,0,Yes,0
STU00161,5.89,59.17,49.12,0,0,0,0,1,0,No,0
STU00162,6.17,49.36,54.27,2,6,2,1,3,0,Yes,0
STU00163,9.45,97.19,81.66,2,4,6,6,1,0,Yes,1
STU00164,6.06,54.43,57.96,2,6,1,5,4,0,Yes,1
STU00165,7.96,78.12,68.97,2,6,4,1,2,0,No,1
STU00166,5.96,50.14,47.34,2,6,4,0,1,0,No,0
STU00167,8.07,76.17,78.96,1,2,2,1,4,0,No,1
STU00168,7.44,64.08,74.35,0,0,1,7,2,0,Yes,0
STU00169,6.82,69.11,65.99,1,2,2,1,1,0,No,0
STU00170,6.95,79.02,73.06,2,4,3,3,2,0,Yes,0
STU00171,6.25,46.89,54.06,1,3,3,0,1,0,No,1
STU00172,7.51,69.86,68.25,2,5,2,1,2,0,Yes,1
STU00173,6.48,64.23,55.85,2,5,4,2,0,0,Yes,1
STU00174,5.59,49.78,45.14,0,0,5,0,1,0,Yes,0
STU00175,5.53,54.69,49.81,1,3,3,1,3,0,No,0
STU00176,7.2,70.32,61.53,1,3,1,2,2,0,No,0
STU00177,8.82,83.87,83.3,1,1,4,2,1,0,No,1
STU00178,7.18,69.35,77.44,0,0,2,4,1,0,Yes,0
STU00179,6.86,51.35,63.72,1,1,1,1,2,0,Yes,0
STU00180,7.33,66.05,63.59,1,2,1,0,0,0,No,0
STU00181,8.5,91.35,80.63,1,3,4,1,2,0,No,1
STU00182,7.25,78.92,55.37,2,4,2,2,0,0,Yes,1
STU00183,6.53,68.88,57.09,1,1,3,0,3,0,No,1
STU00184,8.27,86.62,90.86,2,5,4,1,3,0,No,1
STU00185,7.49,61.79,65.2,0,0,1,4,2,0,Yes,0
STU00186,8.77,83.3,75.37,0,0,1,1,1,0,Yes,1
STU00187,7.21,79.07,64.21,1,1,3,1,2,1,Yes,1
STU00188,5.59,59.81,52.6,2,5,0,0,4,0,No,0
STU00189,5.43,57.15,56.21,0,0,1,1,3,0,Yes,0
STU00190,8.9,86.32,87.42,2,5,6,4,4,1,No,1
STU00191,8.98,80.17,77.29,1,1,3,0,3,0,Yes,1
STU00192,6.79,64.33,61.44,0,0,3,1,2,2,Yes,1
STU00193,6.56,60.98,68.63,0,0,1,0,2,0,No,0
STU00194,8.68,96.06,81.8,1,1,4,1,1,0,Yes,1
STU00195,5.73,52.51,48.98,1,2,3,6,3,0,Yes,1
STU00196,5.97,53.56,51.9,0,0,0,2,3,0,No,1
STU00197,7.74,79.06,66.35,1,1,3,1,4,0,No,1
STU00198,6.55,63.1,63.69,0,0,0,4,3,0,No,0
STU00199,6.99,71.5,69.86,1,3,4,2,1,0,Yes,1
STU00200,6.81,60.57,49.96,2,4,6,3,2,0,No,1
STU00201,7.39,67.42,62.79,0,0,1,3,3,0,Yes,1
STU00202,8.62,94.54,77.49,1,1,1,3,2,0,Yes,1
STU00203,7.1,59.67,71.0,2,3,2,5,1,0,Yes,1
STU00204,7.74,88.46,71.12,1,2,3,1,4,0,No,0
STU00205,4.64,35.0,45.31,0,0,3,1,2,0,No,0
STU00206,6.94,63.48,62.89,1,1,3,3,2,0,No,1
STU00207,6.03,59.85,51.44,2,5,1,4,2,1,Yes,0
STU00208,5.6,50.11,50.09,2,6,3,6,2,0,Yes,1
STU00209,5.99,45.71,52.24,0,0,2,1,1,0,No,0
STU00210,6.62,64.27,58.6,3,9,6,1,2,0,No,1
STU00211,8.05,82.43,80.99,0,0,3,2,1,0,No,1
STU00212,5.47,48.0,47.6,0,0,0,3,2,0,Yes,0
STU00213,7.04,64.72,64.21,1,2,2,2,2,0,Yes,1
STU00214,6.44,59.02,53.64,2,5,2,3,3,0,Yes,0
STU00215,6.62,58.35,70.13,0,0,1,1,2,2,No,0
STU00216,8.15,97.49,77.23,0,0,1,1,3,0,Yes,1
STU00217,7.62,75.56,82.2,0,0,0,1,3,0,Yes,1
STU00218,8.54,83.63,78.76,1,2,5,3,1,2,Yes,1
STU00219,6.82,61.83,66.94,1,2,2,1,3,0,No,0
STU00220,6.2,66.66,63.7,1,1,2,2,1,0,Yes,1
STU00221,6.74,53.88,58.69,0,0,1,3,2,0,Yes,0
STU00222,7.28,74.34,65.18,0,0,1,3,3,1,Yes,1
STU00223,7.2,69.55,65.41,2,4,5,1,3,1,No,1
STU00224,5.75,42.82,48.25,0,0,1,1,3,0,No,0
STU00225,7.1,64.6,68.44,0,0,0,1,3,0,Yes,0
STU00226,7.26,73.82,68.68,0,0,2,1,2,0,Yes,1
STU00227,9.9,84.52,84.19,1,2,3,4,2,0,Yes,1
STU00228,9.16,90.14,97.31,2,5,6,2,2,2,No,1
STU00229,6.02,64.26,49.69,0,0,2,0,5,0,No,0
STU00230,6.67,63.56,55.82,0,0,0,4,1,0,Yes,1
STU00231,5.32,39.58,50.28,2,3,5,3,4,0,Yes,0
STU00232,6.32,52.41,59.57,1,3,6,1,1,1,No,1
STU00233,7.36,71.69,78.88,1,2,2,1,2,1,No,0
STU00234,8.39,82.76,93.44,0,0,4,3,3,0,Yes,1
STU00235,6.16,56.48,54.65,1,2,0,0,2,1,No,0
STU00236,6.25,58.48,51.88,3,11,1,1,2,0,No,1
STU00237,4.53,56.1,35.0,1,3,1,2,1,2,No,0
STU00238,6.81,64.91,56.3,2,5,4,2,2,0,Yes,0
STU00239,5.78,44.65,49.82,1,1,4,4,4,0,Yes,1
STU00240,6.39,65.46,48.46,0,0,1,2,2,1,No,0
STU00241,5.99,61.19,41.11,0,0,1,0,1,0,No,1
STU00242,6.89,67.49,63.49,2,4,4,4,3,0,Yes,1
STU00243,4.98,45.33,48.47,1,2,3,1,2,1,No,1
STU00244,5.31,52.01,43.79,0,0,0,5,2,2,Yes,0
STU00245,9.45,87.98,91.63,1,1,3,5,0,0,Yes,1
STU00246,5.52,37.26,50.3,3,9,0,2,1,0,No,0
STU00247,5.74,54.64,55.15,1,3,3,0,2,1,No,0
STU00248,9.11,93.79,98.48,0,0,2,3,2,0,Yes,1
STU00249,10.0,98.54,100.0,1,3,3,0,1,0,No,1
STU00250,5.65,46.14,51.92,1,2,3,2,2,0,Yes,0
STU00251,6.58,62.49,55.38,1,3,3,1,1,0,No,1
STU00252,7.39,75.33,71.21,3,12,8,2,3,0,Yes,1
STU00253,8.99,88.54,94.47,1,1,1,2,2,0,No,1
STU00254,5.87,53.11,44.07,0,0,2,2,2,0,Yes,0
STU00255,6.72,63.48,68.94,3,12,3,1,2,0,No,1
STU00256,7.89,81.67,76.38,1,2,3,3,2,0,Yes,1
STU00257,7.5,79.84,73.76,0,0,1,1,1,0,No,1
STU00258,6.57,68.31,53.15,0,0,3,2,1,0,No,1
STU00259,6.85,60.83,54.43,1,1,6,1,2,2,No,1
STU00260,5.42,47.91,44.27,0,0,0,4,1,0,Yes,0
STU00261,6.73,60.88,68.24,2,5,4,0,2,1,No,1
STU00262,6.69,59.5,55.68,0,0,3,2,2,0,No,0
STU00263,7.27,62.3,78.67,0,0,0,1,4,3,Yes,0
STU00264,6.36,58.26,51.67,0,0,4,5,2,0,Yes,0
STU00265,7.54,78.89,66.6,2,3,4,0,1,2,No,0
STU00266,8.16,82.05,81.5,0,0,2,2,2,0,No,1
STU00267,7.18,70.57,71.7,1,2,7,2,2,0,No,1
STU00268,7.4,76.51,72.13,2,4,2,0,2,0,No,1
STU00269,7.06,77.33,66.76,0,0,3,1,2,0,No,0
STU00270,7.0,65.32,74.45,2,3,2,5,2,0,Yes,1
STU00271,6.17,48.66,53.26,1,2,2,2,2,0,No,0
STU00272,7.36,72.87,67.59,0,0,2,1,2,0,Yes,0
STU00273,6.89,77.32,56.22,3,8,4,1,1,0,No,1
STU00274,9.41,82.2,93.81,2,6,1,7,4,0,Yes,1
STU00275,8.81,91.22,81.76,0,0,1,2,1,0,No,1
STU00276,7.44,81.5,69.58,2,4,3,3,4,0,Yes,1
STU00277,6.12,40.89,58.4,1,2,8,1,3,0,Yes,1
STU00278,5.72,53.54,60.4,2,6,2,3,2,0,Yes,0
STU00279,8.37,88.36,83.24,1,3,1,1,3,2,Yes,1
STU00280,7.3,70.94,68.73,2,4,3,0,3,0,No,1
STU00281,7.55,72.28,73.12,2,3,4,1,2,0,No,1
STU00282,4.99,43.3,41.11,2,6,6,2,3,0,Yes,0
STU00283,8.07,80.18,77.02,0,0,3,3,3,0,No,0
STU00284,7.52,73.88,70.59,1,3,2,1,2,0,No,1
STU00285,5.72,48.15,53.56,2,4,4,2,0,0,No,1
STU00286,6.46,57.33,55.86,2,4,7,3,1,0,Yes,1
STU00287,7.3,79.71,77.72,2,5,6,3,1,0,Yes,1
STU00288,7.06,61.56,65.15,0,0,2,2,1,0,No,1
STU00289,6.66,51.98,57.27,2,6,4,0,0,0,No,1
STU00290,6.88,73.13,70.56,0,0,1,2,2,0,No,0
STU00291,6.71,62.02,60.3,2,5,2,4,2,0,Yes,1
STU00292,7.18,68.26,66.83,1,2,1,2,2,0,No,1
STU00293,8.69,86.08,83.95,2,5,3,0,3,0,No,0
STU00294,4.05,46.52,51.06,1,2,4,1,2,0,Yes,1
STU00295,6.73,60.3,62.28,1,3,2,1,2,0,No,1
STU00296,7.2,74.02,75.48,2,6,5,0,1,2,No,0
STU00297,7.34,67.29,68.65,0,0,3,2,5,2,No,1
STU00298,6.57,59.26,64.61,1,1,2,3,3,0,No,0
STU00299,4.98,35.0,45.24,2,4,5,4,3,1,Yes,0
STU00300,7.38,80.63,75.89,0,0,1,3,1,0,Yes,1
STU00301,8.99,86.96,90.82,0,0,1,0,2,0,No,1
STU00302,5.24,51.94,39.27,2,4,0,0,2,0,No,0
STU00303,7.99,84.33,78.9,2,3,2,1,2,0,No,1
STU00304,6.62,65.12,64.56,0,0,3,0,1,1,No,0
STU00305,6.93,66.64,70.39,1,1,1,1,1,1,No,0
STU00306,5.79,54.0,56.19,0,0,2,2,2,0,Yes,0
STU00307,6.62,55.94,59.34,3,12,5,2,2,0,No,0
STU00308,8.5,78.6,91.87,1,1,2,3,1,0,No,0
STU00309,7.67,77.17,70.84,0,0,1,0,1,0,No,1
STU00310,8.99,83.97,76.08,2,5,7,1,2,0,Yes,1
STU00311,8.35,93.17,79.96,1,2,3,0,5,0,No,1
STU00312,7.5,77.73,79.65,1,2,2,3,1,1,Yes,1
STU00313,9.01,83.8,78.58,1,2,0,2,2,0,Yes,1
STU00314,7.5,73.84,63.65,1,3,6,2,1,0,No,1
STU00315,7.95,81.84,67.72,0,0,3,2,2,0,No,1
STU00316,6.66,61.99,63.81,1,1,3,1,2,0,No,0
STU00317,7.08,70.72,57.4,1,1,2,4,5,0,Yes,1
STU00318,6.2,56.4,56.28,1,2,4,1,1,0,Yes,0
STU00319,8.14,74.4,77.77,2,6,5,2,2,0,Yes,1
STU00320,5.64,37.58,42.86,1,1,1,3,3,1,Yes,0
STU00321,7.9,78.24,71.49,2,4,0,1,2,1,Yes,1
STU00322,6.78,67.67,62.55,2,5,6,4,1,0,Yes,1
STU00323,8.35,82.41,77.06,1,3,0,3,3,0,Yes,1
STU00324,7.86,87.45,77.0,1,2,3,0,4,0,No,0
STU00325,9.09,88.11,87.8,1,3,3,1,1,0,No,1
STU00326,7.84,87.89,80.42,0,0,2,3,2,0,Yes,0
STU00327,5.19,54.6,50.29,1,3,3,4,4,0,Yes,1
STU00328,6.92,72.87,64.55,0,0,0,2,1,0,No,1
STU00329,5.65,43.3,41.22,0,0,1,0,1,0,No,0
STU00330,6.4,58.81,58.5,3,8,6,2,2,0,Yes,1
STU00331,8.74,94.33,87.93,1,2,2,0,3,0,No,1
STU00332,7.73,80.19,74.47,0,0,1,3,2,0,No,1
STU00333,6.2,59.28,51.23,1,2,4,1,3,1,No,1
STU00334,5.83,43.8,63.98,1,2,0,5,4,0,Yes,1
STU00335,7.04,80.03,57.76,3,11,3,1,1,0,No,0
STU00336,5.6,45.38,50.09,0,0,1,1,3,0,Yes,0
STU00337,6.23,44.39,59.64,2,6,3,3,3,0,Yes,1
STU00338,7.36,71.23,68.29,0,0,2,3,1,0,No,0
STU00339,8.33,69.76,80.43,0,0,2,1,1,0,No,0
STU00340,7.7,71.63,72.74,0,0,3,1,3,3,Yes,1
STU00341,4.37,60.86,42.51,0,0,0,2,2,0,No,0
STU00342,7.35,70.93,75.61,2,3,3,2,3,0,Yes,1
STU00343,7.08,60.62,65.0,0,0,3,2,2,0,Yes,0
STU00344,7.48,75.2,90.71,1,2,4,5,2,0,Yes,1
STU00345,8.86,82.16,81.83,1,3,1,1,1,0,No,1
STU00346,4.63,51.08,51.16,0,0,0,2,1,0,No,0
STU00347,6.32,52.15,57.75,1,2,2,3,1,0,No,1
STU00348,7.68,79.54,75.56,2,3,2,5,3,0,Yes,1
STU00349,5.18,40.77,53.48,1,3,5,0,2,1,No,0
STU00350,8.7,100.0,74.17,0,0,1,2,4,0,No,0
STU00351,7.42,77.29,73.82,0,0,3,2,3,0,No,1
STU00352,7.97,80.4,73.97,1,1,3,2,2,0,Yes,1
STU00353,6.34,56.06,52.2,0,0,1,1,5,0,No,0
STU00354,7.94,77.56,74.98,0,0,3,0,0,0,Yes,1
STU00355,8.23,78.99,74.77,0,0,2,3,3,2,Yes,1
STU00356,7.27,67.28,59.1,0,0,2,2,2,0,Yes,1
STU00357,7.27,82.1,71.36,3,10,3,1,3,0,Yes,1
STU00358,7.31,69.33,69.25,0,0,4,0,3,0,No,1
STU00359,6.01,41.01,48.98,0,0,3,1,4,0,No,1
STU00360,6.83,58.17,66.72,1,1,2,1,2,1,No,1
STU00361,6.82,70.68,64.82,1,2,3,1,2,0,Yes,0
STU00362,7.44,72.99,69.91,1,3,3,1,2,0,Yes,1
STU00363,8.15,82.06,98.17,1,3,3,1,3,0,No,1
STU00364,5.78,58.63,54.72,0,0,4,2,1,1,Yes,0
STU00365,6.86,60.88,77.21,1,1,3,2,1,0,Yes,1
STU00366,8.7,90.62,81.34,0,0,1,0,1,0,No,1
STU00367,6.14,51.36,53.86,3,12,2,1,2,0,Yes,1
STU00368,6.05,57.73,43.85,1,1,4,1,2,0,No,1
STU00369,7.23,69.11,66.47,1,1,4,6,0,2,Yes,1
STU00370,7.97,79.79,74.73,0,0,1,1,1,0,Yes,1
STU00371,7.01,73.01,83.07,1,1,6,0,1,0,No,1
STU00372,8.53,90.3,78.66,1,3,4,5,2,1,Yes,1
STU00373,7.99,80.41,77.0,1,1,1,3,1,2,No,1
STU00374,7.97,78.37,69.48,3,12,8,2,1,0,No,1
STU00375,7.64,86.9,77.5,1,1,5,0,1,0,No,1
STU00376,9.68,93.06,81.13,0,0,0,4,2,2,Yes,1
STU00377,6.76,61.7,66.56,1,1,0,5,0,0,Yes,1
STU00378,4.7,42.08,35.0,0,0,2,0,2,0,No,0
STU00379,8.84,93.64,83.76,1,3,5,0,2,0,No,1
STU00380,6.47,60.36,45.6,2,4,5,1,2,0,Yes,1
STU00381,7.12,68.87,63.91,0,0,3,1,3,0,No,0
STU00382,8.51,86.4,80.98,0,0,1,1,2,0,No,1
STU00383,5.16,49.58,40.96,0,0,1,1,2,0,Yes,0
STU00384,5.56,49.53,43.87,1,3,3,1,0,1,No,0
STU00385,5.16,54.78,50.38,2,3,2,6,2,0,Yes,1
STU00386,6.09,62.22,64.71,1,3,0,0,3,0,No,1
STU00387,7.51,78.67,74.52,1,2,1,3,3,0,Yes,1
STU00388,7.6,85.01,68.6,2,5,5,4,4,0,Yes,1
STU00389,7.32,72.81,70.14,2,4,5,1,3,0,Yes,1
STU00390,5.38,52.79,43.52,0,0,1,1,1,0,No,0
STU00391,4.34,51.53,47.84,1,3,1,2,2,1,No,0
STU00392,7.06,74.99,67.6,1,1,3,1,2,0,No,1
STU00393,6.46,64.88,46.92,0,0,3,1,1,0,No,0
STU00394,7.53,79.58,79.38,1,2,5,0,5,0,Yes,0
STU00395,7.81,91.1,82.16,1,1,3,1,4,0,Yes,1
STU00396,7.16,67.11,76.32,0,0,3,2,2,0,Yes,1
STU00397,7.87,79.22,74.05,0,0,3,4,3,0,Yes,1
STU00398,7.26,70.65,70.74,1,3,1,4,3,1,Yes,1
STU00399,7.61,74.67,66.77,0,0,3,7,2,0,Yes,0
STU00400,6.19,43.95,52.58,1,2,1,1,1,0,No,0
STU00401,6.79,72.82,63.96,0,0,1,2,3,1,Yes,0
STU00402,7.23,65.2,64.54,2,6,6,1,2,0,No,1
STU00403,7.94,81.98,80.01,1,3,5,2,2,0,No,1
STU00404,6.55,52.19,58.73,0,0,0,1,1,0,No,0
STU00405,7.6,80.45,71.02,2,6,3,3,1,0,No,1
STU00406,6.69,58.18,68.28,0,0,2,1,1,0,Yes,0
STU00407,6.86,58.85,61.26,2,5,3,2,1,3,Yes,1
